                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2969,                0.83829,                      1,                 1.4847,              0.0002368,              0.0002368,              0.0002368
                      2,                0.22426,                0.97025,                      1,                 1.3208,             0.00045914,             0.00045914,             0.00045914
                      3,                0.13594,                0.98577,                      1,                 1.3189,             0.00066576,             0.00066576,             0.00066576
                      4,                0.11986,                 0.9793,                      1,                 1.3112,             0.00064331,             0.00064331,             0.00064331
                      5,                0.09514,                0.96378,                      1,                 1.3169,             0.00064331,             0.00064331,             0.00064331
                      6,                0.06815,                0.93661,                      1,                 1.3336,             0.00061975,             0.00061975,             0.00061975
                      7,                0.06113,                0.94308,                      1,                 1.3413,             0.00059619,             0.00059619,             0.00059619
                      8,                0.04869,                0.96766,                      1,                 1.3053,             0.00057263,             0.00057263,             0.00057263
                      9,                 0.0564,                 0.9599,                      1,                 1.3168,             0.00054907,             0.00054907,             0.00054907
                     10,                0.04468,                0.99612,                      1,                 1.2861,              0.0005255,              0.0005255,              0.0005255
                     11,                0.03571,                0.97413,                      1,                 1.2999,             0.00050194,             0.00050194,             0.00050194
                     12,                0.04042,                0.99483,                      1,                 1.2879,             0.00047838,             0.00047838,             0.00047838
                     13,                0.04251,                0.99224,                      1,                 1.2961,             0.00045482,             0.00045482,             0.00045482
                     14,                0.03642,                0.99741,                      1,                 1.2827,             0.00043126,             0.00043126,             0.00043126
                     15,                0.02577,                0.98836,                      1,                 1.2932,             0.00040769,             0.00040769,             0.00040769
                     16,                0.03403,                      1,                      1,                 1.2847,             0.00038413,             0.00038413,             0.00038413
                     17,                0.02493,                0.98706,                      1,                 1.2981,             0.00036057,             0.00036057,             0.00036057
                     18,                0.02132,                0.99353,                      1,                 1.2942,             0.00033701,             0.00033701,             0.00033701
                     19,                0.02609,                0.96895,                      1,                 1.3051,             0.00031345,             0.00031345,             0.00031345
                     20,                0.03225,                0.99483,                      1,                  1.284,             0.00028988,             0.00028988,             0.00028988
                     21,                0.03176,                0.99224,                      1,                 1.2891,             0.00026632,             0.00026632,             0.00026632
                     22,                0.03407,                0.99483,                      1,                 1.2861,             0.00024276,             0.00024276,             0.00024276
                     23,                0.01886,                 0.9793,                      1,                 1.2981,              0.0002192,              0.0002192,              0.0002192
                     24,                 0.0179,                0.99871,                      1,                 1.2867,             0.00019564,             0.00019564,             0.00019564
                     25,                0.01687,                0.99483,                      1,                 1.2875,             0.00017207,             0.00017207,             0.00017207
                     26,                0.02467,                0.96895,                      1,                 1.3025,             0.00014851,             0.00014851,             0.00014851
                     27,                0.02565,                0.99871,                      1,                  1.288,             0.00012495,             0.00012495,             0.00012495
                     28,                0.00912,                0.99871,                      1,                 1.2842,             0.00010139,             0.00010139,             0.00010139
                     29,                0.01496,                0.99871,                      1,                 1.2848,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.01491,                0.99353,                      1,                 1.2896,             5.4264e-05,             5.4264e-05,             5.4264e-05
